Recording Date,set(s),duration (s),rest (s)
3/4/2024 11:47 AM,4,30,30
3/3/2024 5:46 PM,4,30,30
3/2/2024 3:15 PM,4,30,30
2/28/2024 4:29 PM,4,30,30
2/27/2024 8:04 PM,4,30,30
2/26/2024 7:35 PM,4,30,30
2/26/2024 8:15 AM,4,30,30
2/25/2024 9:57 PM,4,30,30
2/25/2024 2:42 PM,4,30,30
2/23/2024 8:01 AM,4,30,30
2/22/2024 12:40 PM,4,30,30
2/21/2024 11:30 AM,4,30,30
2/20/2024 8:44 PM,4,30,30
2/18/2024 4:41 PM,4,30,30
2/16/2024 10:51 PM,4,30,30
2/14/2024 8:36 PM,4,30,30
2/12/2024 8:15 PM,4,30,30
2/12/2024 11:48 AM,4,30,30
2/11/2024 9:01 PM,4,30,30
2/11/2024 3:01 PM,4,30,30
2/8/2024 1:45 PM,4,30,30
2/6/2024 5:40 PM,4,30,30
2/6/2024 9:45 AM,4,30,30
2/5/2024 7:29 AM,4,30,30
2/4/2024 10:13 AM,4,30,30
2/2/2024 4:30 PM,4,30,30
2/2/2024 10:31 AM,4,30,30
1/30/2024 8:13 PM,4,30,30
1/29/2024 7:25 PM,4,30,30
1/27/2024 1:04 PM,4,30,30
1/26/2024 4:01 PM,4,30,30
1/26/2024 9:01 AM,4,30,30
1/18/2024 8:45 PM,4,30,30
1/16/2024 9:19 PM,4,30,30
10/15/2023 9:57 AM,4,30,30
10/8/2023 11:15 AM,4,30,30
10/4/2023 6:28 PM,4,30,30
10/1/2023 12:53 PM,4,25,30
9/30/2023 2:06 PM,4,25,30
9/27/2023 9:14 PM,4,25,30
9/26/2023 7:08 AM,4,25,30
9/25/2023 9:03 PM,4,25,30
9/24/2023 9:48 AM,4,20,30
9/23/2023 9:02 AM,4,20,30
9/22/2023 10:48 PM,4,20,30
9/21/2023 7:12 AM,4,20,30
9/19/2023 9:28 PM,4,20,30
9/17/2023 11:42 AM,3,20,30
9/16/2023 10:09 AM,3,20,30
9/9/2023 12:45 PM,3,20,30
9/2/2023 11:38 AM,4,30,30
8/21/2023 7:00 AM,2,30,120
8/20/2023 9:59 PM,4,30,120
8/20/2023 1:42 PM,4,30,120
1/10/2023 7:41 AM,2,30,120
1/8/2023 2:28 PM,2,30,120
1/7/2023 3:00 PM,2,30,120
1/3/2023 9:47 PM,2,30,120
1/2/2023 5:40 PM,2,30,120
1/2/2023 6:30 AM,2,30,120
12/31/2022 10:01 AM,2,30,120
12/30/2022 10:08 AM,2,30,120
12/29/2022 11:48 PM,2,30,120
12/29/2022 9:49 AM,2,30,120
12/28/2022 9:09 AM,2,30,120
12/26/2022 12:29 PM,2,30,120
12/25/2022 8:43 PM,2,30,120
12/25/2022 12:31 PM,2,30,120
12/24/2022 10:16 PM,1,30,120
12/24/2022 11:25 AM,2,30,120
12/23/2022 2:05 PM,2,30,120
12/14/2022 9:06 PM,2,30,120
12/14/2022 10:54 AM,4,30,120
12/13/2022 9:44 PM,3,30,120
12/13/2022 8:10 AM,3,30,120
12/12/2022 8:49 PM,3,30,120
12/11/2022 1:58 PM,4,30,120
12/10/2022 11:53 AM,4,30,120
12/9/2022 9:51 AM,4,30,120
12/7/2022 10:02 PM,2,30,120
12/7/2022 7:59 AM,6,30,120
12/6/2022 11:06 AM,3,30,120
12/5/2022 11:07 PM,2,30,120
12/4/2022 9:35 PM,2,30,120
12/3/2022 11:53 AM,6,30,120
12/3/2022 12:05 AM,3,30,120
12/2/2022 1:10 PM,6,30,120
11/30/2022 11:14 AM,3,30,120
11/29/2022 9:41 PM,2,30,120
11/29/2022 7:33 AM,3,30,120
11/27/2022 12:33 PM,6,30,120
11/26/2022 6:10 PM,6,30,120
11/26/2022 7:37 AM,6,30,120
11/24/2022 8:31 PM,6,30,120
11/23/2022 8:25 AM,6,30,120
11/22/2022 9:48 PM,2,30,120
11/21/2022 9:39 PM,6,30,120
11/21/2022 6:42 AM,6,30,120
11/19/2022 9:04 AM,6,30,120
11/18/2022 7:44 PM,6,30,120
11/18/2022 10:52 AM,6,30,120
11/17/2022 10:40 AM,5,30,120
11/16/2022 6:52 AM,5,30,120
11/15/2022 9:39 PM,5,30,120
11/14/2022 8:00 PM,5,30,120
11/13/2022 9:03 PM,5,30,120
11/12/2022 6:25 PM,5,30,120
11/12/2022 9:20 AM,4,30,120
11/11/2022 7:35 PM,4,30,120
11/10/2022 5:56 PM,4,30,120
11/09/2022 5:29 AM,4,20,0
11/08/2022 8:12 PM,4,20,0
11/08/2022 5:57 AM,4,20,0
11/07/2022 8:01 PM,4,15,0
11/07/2022 8:27 AM,4,15,0
11/06/2022 8:36 PM,4,15,0
11/06/2022 9:23 AM,4,15,0
11/05/2022 7:15 PM,4,15,0
11/05/2022 9:15 AM,4,15,0
11/04/2022 1:42 PM,4,15,0
11/04/2022 6:03 AM,4,15,0
11/03/2022 5:29 PM,4,15,0
11/03/2022 7:38 AM,4,15,0
11/02/2022 4:46 PM,6,20,0
11/02/2022 7:07 AM,6,20,0
11/01/2022 7:00 PM,6,20,0
11/01/2022 9:00 AM,6,20,0
